datetime,close,high,low,open,volume
2026-02-26 08:34:00-05:00,616.98,617.04,616.96,617.04,0
2026-02-26 08:35:00-05:00,616.745,616.96,616.7,616.95,0
2026-02-26 08:36:00-05:00,616.9,616.98,616.86,616.86,0
2026-02-26 08:37:00-05:00,616.91,616.96,616.87,616.92,0
2026-02-26 08:38:00-05:00,616.93,617.01,616.8795,616.8795,0
2026-02-26 08:39:00-05:00,616.92,616.995,616.84,616.93,0
2026-02-26 08:40:00-05:00,616.91,616.99,616.8785,616.91,0
2026-02-26 08:41:00-05:00,616.76,616.88,615.4,616.88,0
2026-02-26 08:42:00-05:00,616.72,616.8392,616.71,616.77,0
2026-02-26 08:43:00-05:00,616.7575,616.77,616.72,616.72,0
2026-02-26 08:44:00-05:00,616.67,616.8,616.6601,616.7292,0
2026-02-26 08:45:00-05:00,616.8,616.86,616.63,616.66,0
2026-02-26 08:46:00-05:00,617.1399,617.15,616.7997,616.8,0
2026-02-26 08:47:00-05:00,617.25,617.25,616.68,617.081,0
2026-02-26 08:48:00-05:00,617.32,617.34,617.16,617.23,0
2026-02-26 08:49:00-05:00,617.29,617.35,617.19,617.348,0
2026-02-26 08:50:00-05:00,617.05,617.232,617.05,617.23,0
2026-02-26 08:51:00-05:00,616.93,617.12,616.91,617.11,0
2026-02-26 08:52:00-05:00,616.89,616.965,616.84,616.965,0
2026-02-26 08:53:00-05:00,616.92,616.96,616.89,616.89,0
2026-02-26 08:54:00-05:00,616.9004,616.995,616.87,616.995,0
2026-02-26 08:55:00-05:00,616.5709,616.99,616.54,616.9597,0
2026-02-26 08:56:00-05:00,616.64,616.735,616.6001,616.6001,0
2026-02-26 08:57:00-05:00,616.69,616.73,616.63,616.66,0
2026-02-26 08:58:00-05:00,616.7495,616.785,616.66,616.675,0
2026-02-26 08:59:00-05:00,616.61,616.745,616.61,616.745,0
2026-02-26 09:00:00-05:00,616.61,616.85,616.59,616.59,0
2026-02-26 09:01:00-05:00,616.68,616.7,616.59,616.6563,0
2026-02-26 09:02:00-05:00,616.88,616.94,616.79,616.8,0
2026-02-26 09:03:00-05:00,616.8607,616.92,616.839,616.86,0
2026-02-26 09:04:00-05:00,616.74,616.8805,616.6901,616.86,0
2026-02-26 09:05:00-05:00,616.58,616.73,616.58,616.705,0
2026-02-26 09:06:00-05:00,616.525,616.71,616.51,616.58,0
2026-02-26 09:07:00-05:00,616.635,616.68,616.52,616.5452,0
2026-02-26 09:08:00-05:00,616.5492,616.65,616.53,616.64,0
2026-02-26 09:09:00-05:00,616.365,616.5472,616.35,616.5472,0
2026-02-26 09:10:00-05:00,616.27,616.4097,616.21,616.3601,0
2026-02-26 09:11:00-05:00,616.34,616.4202,616.23,616.23,0
2026-02-26 09:12:00-05:00,616.4395,616.4995,616.31,616.35,0
2026-02-26 09:13:00-05:00,616.4026,616.4854,616.3802,616.44,0
2026-02-26 09:14:00-05:00,616.42,616.47,616.3712,616.3712,0
2026-02-26 09:15:00-05:00,616.4625,616.57,616.42,616.47,0
2026-02-26 09:16:00-05:00,616.39,616.4979,616.33,616.49,0
2026-02-26 09:17:00-05:00,616.4,616.48,616.3104,616.37,0
2026-02-26 09:18:00-05:00,616.36,616.36,616.19,616.33,0
2026-02-26 09:19:00-05:00,616.58,616.59,616.3301,616.3454,0
2026-02-26 09:20:00-05:00,616.38,616.58,616.27,616.58,0
2026-02-26 09:21:00-05:00,616.29,616.35,616.21,616.35,0
2026-02-26 09:22:00-05:00,616.2502,616.35,616.2502,616.3,0
2026-02-26 09:23:00-05:00,616.105,616.245,616.049,616.223,0
2026-02-26 09:24:00-05:00,616.25,616.29,616.1632,616.1632,0
2026-02-26 09:25:00-05:00,616.07,616.2,616.01,616.2,0
2026-02-26 09:26:00-05:00,616.02,616.16,616.01,616.08,0
2026-02-26 09:27:00-05:00,615.64,616.0177,615.6,616.0177,0
2026-02-26 09:28:00-05:00,615.8997,615.96,615.5,615.69,0
2026-02-26 09:29:00-05:00,615.5697,615.89,615.5697,615.89,0
2026-02-26 09:30:00-05:00,614.3800048828125,615.530029296875,614.2000122070312,615.489990234375,1314780
2026-02-26 09:31:00-05:00,615.0900268554688,615.4000244140625,614.0700073242188,614.3900146484375,342862
2026-02-26 09:32:00-05:00,614.1400146484375,615.2100219726562,614.0700073242188,615.1099853515625,336357
2026-02-26 09:33:00-05:00,613.989990234375,614.3099975585938,613.8400268554688,614.1699829101562,2340582
2026-02-26 09:34:00-05:00,613.8699951171875,614.1699829101562,613.47998046875,613.969970703125,0
2026-02-26 09:35:00-05:00,613.7000122070312,614.3099975585938,613.5399780273438,613.8699951171875,2888885
2026-02-26 09:36:00-05:00,612.9299926757812,613.8400268554688,612.72998046875,613.7000122070312,0
2026-02-26 09:37:00-05:00,613.3400268554688,613.5499877929688,612.9000244140625,612.9299926757812,287955
2026-02-26 09:38:00-05:00,613.594970703125,613.9099731445312,613.1799926757812,613.3200073242188,303223
2026-02-26 09:39:00-05:00,613.9625244140625,614.4199829101562,613.5700073242188,613.5900268554688,348222
2026-02-26 09:40:00-05:00,613.3900146484375,614.0449829101562,613.260009765625,613.969970703125,3925772
2026-02-26 09:41:00-05:00,613.885009765625,614.0999755859375,613.2100219726562,613.3800048828125,0
2026-02-26 09:42:00-05:00,613.6900024414062,614.4000244140625,613.5650024414062,613.9000244140625,197351
2026-02-26 09:43:00-05:00,613.280029296875,613.8300170898438,612.9299926757812,613.7000122070312,202173
2026-02-26 09:44:00-05:00,613.7125854492188,613.8900146484375,613.1099853515625,613.25,145938
2026-02-26 09:45:00-05:00,612.8800048828125,613.7000122070312,612.5599975585938,613.7000122070312,239503
2026-02-26 09:46:00-05:00,613.5349731445312,613.6799926757812,612.8599853515625,612.8800048828125,4831079
2026-02-26 09:47:00-05:00,613.1500244140625,613.5599975585938,612.969970703125,613.530029296875,0
2026-02-26 09:48:00-05:00,612.594970703125,613.219970703125,612.5,613.1500244140625,175630
2026-02-26 09:49:00-05:00,612.8800048828125,612.9099731445312,612.3701171875,612.6099853515625,159571
2026-02-26 09:50:00-05:00,612.8900146484375,613.4299926757812,612.8200073242188,612.8599853515625,163658
2026-02-26 09:51:00-05:00,612.47998046875,612.989990234375,612.3400268554688,612.8900146484375,5486546
2026-02-26 09:52:00-05:00,612.0999755859375,612.5499877929688,612.0700073242188,612.5,249518
2026-02-26 09:53:00-05:00,612.4099731445312,612.510009765625,611.8699951171875,612.0900268554688,360087
2026-02-26 09:54:00-05:00,612.530029296875,612.5800170898438,611.989990234375,612.4091186523438,0
2026-02-26 09:55:00-05:00,612.7899780273438,613.1500244140625,612.4400024414062,612.5499877929688,254440
2026-02-26 09:56:00-05:00,612.7000122070312,612.989990234375,612.47998046875,612.780029296875,6383481
2026-02-26 09:57:00-05:00,612.1599731445312,612.72998046875,612.1500244140625,612.6900024414062,0
2026-02-26 09:58:00-05:00,612.0900268554688,612.2449951171875,611.730712890625,612.1699829101562,268518
2026-02-26 09:59:00-05:00,611.97998046875,612.4199829101562,611.9600219726562,612.0800170898438,214611
2026-02-26 10:00:00-05:00,611.5499877929688,612.3900146484375,611.47998046875,611.97998046875,7222134
2026-02-26 10:01:00-05:00,610.7899780273438,611.75,610.510009765625,611.5700073242188,0
2026-02-26 10:02:00-05:00,611.1199951171875,611.1799926757812,610.6900024414062,610.7999877929688,291570
2026-02-26 10:03:00-05:00,611.440185546875,611.6500244140625,611.0399780273438,611.1099853515625,7692255
2026-02-26 10:04:00-05:00,611.5100708007812,611.8900146484375,611.280029296875,611.4550170898438,388814
2026-02-26 10:05:00-05:00,611.25,611.6099853515625,611.0399780273438,611.52001953125,0
2026-02-26 10:06:00-05:00,611.3400268554688,611.5800170898438,611.0,611.25,209447
2026-02-26 10:07:00-05:00,611.22998046875,611.4600219726562,610.969970703125,611.3300170898438,237180
2026-02-26 10:08:00-05:00,611.239990234375,611.3900146484375,611.02001953125,611.1900024414062,255229
2026-02-26 10:09:00-05:00,610.8400268554688,611.340087890625,610.75,611.260009765625,221551
2026-02-26 10:10:00-05:00,611.27001953125,611.2899780273438,610.77001953125,610.8499755859375,214246
2026-02-26 10:11:00-05:00,611.1199951171875,611.5,611.0399780273438,611.280029296875,210389
2026-02-26 10:12:00-05:00,609.5599975585938,611.135009765625,609.4400024414062,611.1300048828125,361963
2026-02-26 10:13:00-05:00,609.530029296875,609.8099975585938,609.4450073242188,609.5700073242188,453583
2026-02-26 10:14:00-05:00,608.9299926757812,609.5349731445312,608.8699951171875,609.5250854492188,9489489
2026-02-26 10:15:00-05:00,608.1199951171875,608.9349975585938,607.9400024414062,608.9349975585938,0
2026-02-26 10:16:00-05:00,607.1400146484375,608.1199951171875,607.0999145507812,608.1099853515625,371315
2026-02-26 10:17:00-05:00,607.27001953125,607.8599853515625,607.0599975585938,607.1400146484375,10400187
2026-02-26 10:18:00-05:00,606.5787963867188,607.3599853515625,606.489990234375,607.280029296875,636400
2026-02-26 10:19:00-05:00,606.2000122070312,606.75,606.010009765625,606.5900268554688,0
2026-02-26 10:20:00-05:00,605.77001953125,606.8699951171875,605.77001953125,606.1900024414062,324359
2026-02-26 10:21:00-05:00,605.4201049804688,605.97998046875,605.3900146484375,605.780029296875,11378576
2026-02-26 10:22:00-05:00,605.530029296875,605.6500244140625,604.9400024414062,605.4400024414062,0
2026-02-26 10:23:00-05:00,605.8800048828125,606.1400146484375,605.25,605.52001953125,293879
2026-02-26 10:24:00-05:00,605.2999877929688,605.8800048828125,604.8900146484375,605.8800048828125,275572
2026-02-26 10:25:00-05:00,605.5399780273438,605.7899780273438,605.1599731445312,605.2999877929688,287271
2026-02-26 10:26:00-05:00,606.4500122070312,606.6300048828125,605.5449829101562,605.5549926757812,406107
2026-02-26 10:27:00-05:00,605.1099853515625,606.510009765625,605.0499877929688,606.4600219726562,376542
2026-02-26 10:28:00-05:00,605.0399780273438,605.5,604.5499877929688,605.0900268554688,278282
2026-02-26 10:29:00-05:00,605.7000122070312,605.8770141601562,604.9600219726562,605.0399780273438,175593
2026-02-26 10:30:00-05:00,605.0100708007812,605.7949829101562,604.77001953125,605.7100219726562,252960
2026-02-26 10:31:00-05:00,605.4301147460938,605.7282104492188,604.7349853515625,604.989990234375,323108
2026-02-26 10:32:00-05:00,604.8699951171875,605.6300048828125,604.8375854492188,605.4099731445312,13568794
2026-02-26 10:33:00-05:00,604.9949951171875,605.2100219726562,604.6699829101562,604.8699951171875,368538
2026-02-26 10:34:00-05:00,604.2000122070312,605.0,603.97998046875,605.0,0
2026-02-26 10:35:00-05:00,605.0399780273438,605.1500244140625,604.1799926757812,604.2100219726562,242264
2026-02-26 10:36:00-05:00,605.219970703125,605.3699951171875,604.6201171875,604.989990234375,264974
2026-02-26 10:37:00-05:00,605.739990234375,605.780029296875,605.030029296875,605.2100219726562,403802
2026-02-26 10:38:00-05:00,606.5599975585938,606.5800170898438,605.6199951171875,605.719970703125,14926336
2026-02-26 10:39:00-05:00,606.7100219726562,606.72998046875,606.219970703125,606.5399780273438,0
2026-02-26 10:40:00-05:00,606.6799926757812,607.2100219726562,606.5499877929688,606.7100219726562,405436
2026-02-26 10:41:00-05:00,607.0454711914062,607.25,606.5,606.6699829101562,15374963
2026-02-26 10:42:00-05:00,606.6300048828125,607.25,606.3200073242188,607.0399780273438,0
2026-02-26 10:43:00-05:00,607.1599731445312,607.280029296875,606.6400146484375,606.6400146484375,164318
2026-02-26 10:44:00-05:00,607.0499877929688,607.309326171875,606.9249877929688,607.1599731445312,15597966
2026-02-26 10:45:00-05:00,607.6900024414062,607.77001953125,607.0499877929688,607.0499877929688,0
2026-02-26 10:46:00-05:00,606.97998046875,607.9000244140625,606.8800048828125,607.6900024414062,398348
2026-02-26 10:47:00-05:00,607.47998046875,607.510009765625,606.8099975585938,606.969970703125,165697
2026-02-26 10:48:00-05:00,607.6749877929688,607.7598876953125,607.27001953125,607.47998046875,166869
2026-02-26 10:49:00-05:00,607.6699829101562,607.9400024414062,607.3499755859375,607.6900024414062,1894603
2026-02-26 10:50:00-05:00,607.3400268554688,607.6699829101562,607.0999755859375,607.6699829101562,197475
2026-02-26 10:51:00-05:00,607.0,607.3499755859375,606.9500122070312,607.3200073242188,235801
2026-02-26 10:52:00-05:00,607.6699829101562,607.9500122070312,606.9400024414062,607.0,16888557
2026-02-26 10:53:00-05:00,607.3200073242188,607.75,607.0999755859375,607.6699829101562,0
2026-02-26 10:54:00-05:00,607.5399780273438,607.6099853515625,607.1500244140625,607.3400268554688,150433
2026-02-26 10:55:00-05:00,607.25,607.7100219726562,607.0800170898438,607.5499877929688,176860
2026-02-26 10:56:00-05:00,606.9600219726562,607.3599853515625,606.8499755859375,607.25,188862
2026-02-26 10:57:00-05:00,607.6500244140625,607.6599731445312,606.8499755859375,606.9600219726562,136181
2026-02-26 10:58:00-05:00,607.6950073242188,607.8800048828125,607.5800170898438,607.6300048828125,17476584
2026-02-26 10:59:00-05:00,607.2949829101562,607.72998046875,607.0650024414062,607.7100219726562,0
2026-02-26 11:00:00-05:00,607.780029296875,607.8400268554688,607.22998046875,607.2999877929688,118570
2026-02-26 11:01:00-05:00,607.3599853515625,607.8699951171875,607.2999877929688,607.760009765625,148424
2026-02-26 11:02:00-05:00,607.5,607.52001953125,606.969970703125,607.3599853515625,233135
2026-02-26 11:03:00-05:00,607.5,607.9299926757812,607.3900146484375,607.5,193295
2026-02-26 11:04:00-05:00,607.8800048828125,607.9000244140625,607.3300170898438,607.510009765625,17832764
2026-02-26 11:05:00-05:00,607.969970703125,608.27001953125,607.75,607.8499755859375,0
2026-02-26 11:06:00-05:00,607.5800170898438,608.0900268554688,607.239990234375,607.97998046875,166443
2026-02-26 11:07:00-05:00,607.8400268554688,608.0701293945312,607.4000854492188,607.5700073242188,18221683
2026-02-26 11:08:00-05:00,607.8599853515625,607.989990234375,607.5999755859375,607.8400268554688,0
2026-02-26 11:09:00-05:00,607.8699951171875,608.0599975585938,607.760009765625,607.8800048828125,90439
2026-02-26 11:10:00-05:00,607.8856201171875,608.0900268554688,607.780029296875,607.8599853515625,88151
2026-02-26 11:11:00-05:00,608.0,608.1500244140625,607.8200073242188,607.9000244140625,195531
2026-02-26 11:12:00-05:00,608.2000122070312,608.529296875,608.02001953125,608.02001953125,249496
2026-02-26 11:13:00-05:00,608.1199951171875,608.1950073242188,607.8699951171875,608.1900024414062,119089
2026-02-26 11:14:00-05:00,608.4099731445312,608.4199829101562,607.9299926757812,608.1099853515625,98366
2026-02-26 11:15:00-05:00,608.760009765625,608.8198852539062,608.3599853515625,608.4199829101562,18671757
2026-02-26 11:16:00-05:00,608.9400024414062,608.9598999023438,608.5599975585938,608.75,0
2026-02-26 11:17:00-05:00,608.5599975585938,608.9500122070312,608.3250122070312,608.9500122070312,114782
2026-02-26 11:18:00-05:00,608.4299926757812,608.5700073242188,608.3049926757812,608.5399780273438,78372
2026-02-26 11:19:00-05:00,608.1400146484375,608.4600219726562,608.055908203125,608.4199829101562,116961
2026-02-26 11:20:00-05:00,608.1099853515625,608.3099975585938,607.969970703125,608.1300048828125,18995284
2026-02-26 11:21:00-05:00,608.219970703125,608.4099731445312,608.1099853515625,608.1400146484375,143784
2026-02-26 11:22:00-05:00,608.530029296875,608.6837158203125,608.2150268554688,608.22998046875,0
2026-02-26 11:23:00-05:00,608.3800048828125,608.75,608.3099975585938,608.530029296875,100437
2026-02-26 11:24:00-05:00,608.47998046875,608.52001953125,608.3599853515625,608.3900146484375,19227961
2026-02-26 11:25:00-05:00,609.0961303710938,609.0961303710938,608.489990234375,608.5,500070
2026-02-26 11:26:00-05:00,608.9400024414062,609.35498046875,608.80859375,609.0900268554688,0
2026-02-26 11:27:00-05:00,608.8900146484375,608.9400024414062,608.7000122070312,608.9400024414062,19516388
2026-02-26 11:28:00-05:00,608.885009765625,608.9600219726562,608.780029296875,608.8900146484375,0
2026-02-26 11:29:00-05:00,608.719970703125,608.9199829101562,608.6599731445312,608.8599853515625,109926
2026-02-26 11:30:00-05:00,608.8099975585938,608.9199829101562,608.5599975585938,608.7249755859375,19747101
2026-02-26 11:31:00-05:00,608.489990234375,608.880126953125,608.4199829101562,608.8099975585938,173998
2026-02-26 11:32:00-05:00,608.8099975585938,608.9500122070312,608.489990234375,608.5,0
2026-02-26 11:33:00-05:00,608.77001953125,608.9400024414062,608.5700073242188,608.8200073242188,296926
2026-02-26 11:34:00-05:00,608.8599853515625,608.969970703125,608.7100219726562,608.7999877929688,62394
2026-02-26 11:35:00-05:00,608.6900024414062,608.9301147460938,608.6799926757812,608.8699951171875,67336
2026-02-26 11:36:00-05:00,608.0700073242188,608.7000122070312,608.02001953125,608.6900024414062,161889
2026-02-26 11:37:00-05:00,607.8300170898438,608.1099853515625,607.8150024414062,608.0800170898438,130860
2026-02-26 11:38:00-05:00,607.8400268554688,607.9099731445312,607.4550170898438,607.8300170898438,119606
2026-02-26 11:39:00-05:00,607.7100219726562,607.9199829101562,607.6300048828125,607.8300170898438,20255726
2026-02-26 11:40:00-05:00,607.72998046875,607.760009765625,607.510009765625,607.7100219726562,0
2026-02-26 11:41:00-05:00,607.9199829101562,608.1599731445312,607.719970703125,607.7399291992188,20453081
2026-02-26 11:42:00-05:00,607.9299926757812,608.0499877929688,607.719970703125,607.9400024414062,0
2026-02-26 11:43:00-05:00,607.5499877929688,607.9450073242188,607.47998046875,607.9299926757812,62070
2026-02-26 11:44:00-05:00,607.3300170898438,607.6500244140625,607.219970703125,607.5499877929688,98515
2026-02-26 11:45:00-05:00,606.9550170898438,607.3599853515625,606.9199829101562,607.3200073242188,96115
2026-02-26 11:46:00-05:00,606.9749755859375,607.280029296875,606.6799926757812,606.9500122070312,159504
2026-02-26 11:47:00-05:00,607.22998046875,607.3800048828125,606.8900146484375,606.9600219726562,103503
2026-02-26 11:48:00-05:00,607.5499877929688,607.6599731445312,607.1199951171875,607.2100219726562,20726138
2026-02-26 11:49:00-05:00,607.760009765625,607.8099975585938,607.5,607.5700073242188,0
2026-02-26 11:50:00-05:00,607.385009765625,608.0,607.385009765625,607.7698974609375,104680
2026-02-26 11:51:00-05:00,607.4500122070312,607.75,607.3699951171875,607.3900146484375,21108322
2026-02-26 11:52:00-05:00,607.260009765625,607.5999755859375,607.25,607.4349975585938,0
2026-02-26 11:53:00-05:00,607.094970703125,607.3200073242188,606.9600219726562,607.27001953125,21292808
2026-02-26 11:54:00-05:00,606.760009765625,607.1099853515625,606.75,607.094970703125,0
2026-02-26 11:55:00-05:00,606.5900268554688,606.8800048828125,606.4550170898438,606.77001953125,94958
2026-02-26 11:56:00-05:00,606.4550170898438,606.8599853515625,606.4505004882812,606.5800170898438,102704
2026-02-26 11:57:00-05:00,606.2999877929688,606.5150146484375,606.219970703125,606.4600219726562,84081
2026-02-26 11:58:00-05:00,606.3200073242188,606.5800170898438,606.1854858398438,606.2999877929688,86698
2026-02-26 11:59:00-05:00,606.4099731445312,606.5999755859375,606.2999877929688,606.2999877929688,68178
2026-02-26 12:00:00-05:00,606.9998779296875,607.010009765625,606.3300170898438,606.4099731445312,120740
2026-02-26 12:01:00-05:00,606.75,607.0,606.7249755859375,607.0,94398
2026-02-26 12:02:00-05:00,606.64501953125,606.8400268554688,606.6300048828125,606.75,73484
2026-02-26 12:03:00-05:00,606.9949951171875,607.0449829101562,606.6099853515625,606.6400146484375,80337
2026-02-26 12:04:00-05:00,607.1937255859375,607.27001953125,606.9299926757812,606.97998046875,85542
2026-02-26 12:05:00-05:00,607.2119750976562,607.4299926757812,607.0900268554688,607.1900024414062,109881
2026-02-26 12:06:00-05:00,607.0700073242188,607.3900146484375,607.0549926757812,607.2000122070312,21818618
2026-02-26 12:07:00-05:00,607.3900146484375,607.4500122070312,606.989990234375,607.0700073242188,0
2026-02-26 12:08:00-05:00,607.27001953125,607.5150146484375,607.22998046875,607.3800048828125,92868
2026-02-26 12:09:00-05:00,607.030029296875,607.3599853515625,607.010009765625,607.27001953125,82106
2026-02-26 12:10:00-05:00,607.1300048828125,607.3099975585938,607.0599975585938,607.0599975585938,66872
2026-02-26 12:11:00-05:00,607.25,607.3499755859375,607.0599975585938,607.1199951171875,22035398
2026-02-26 12:12:00-05:00,607.3150024414062,607.3800048828125,607.1099853515625,607.239990234375,0
2026-02-26 12:13:00-05:00,607.0449829101562,607.3300170898438,606.9400024414062,607.2999877929688,64550
2026-02-26 12:14:00-05:00,606.5050048828125,607.0700073242188,606.47998046875,607.0599975585938,99688
2026-02-26 12:15:00-05:00,606.2200927734375,606.5150146484375,606.219970703125,606.5,98175
2026-02-26 12:16:00-05:00,606.3150024414062,606.530029296875,606.1699829101562,606.219970703125,85515
2026-02-26 12:17:00-05:00,606.3800048828125,606.47998046875,606.260009765625,606.3201293945312,70084
2026-02-26 12:18:00-05:00,606.510009765625,606.6201171875,606.2999877929688,606.3800048828125,71025
2026-02-26 12:19:00-05:00,606.47998046875,606.75,606.4299926757812,606.5034790039062,22458187
